,entity_id,node_type,node_id,cluster
410,SRE,company,410,2
411,NOW,company,411,0
412,SHW,company,412,2
413,SPG,company,413,0
414,SWKS,company,414,2
415,SJM,company,415,0
416,SW,company,416,2
417,SNA,company,417,0
418,SOLV,company,418,0
419,SO,company,419,2
420,LUV,company,420,0
421,SWK,company,421,2
422,SBUX,company,422,0
423,STT,company,423,0
424,STLD,company,424,0
425,STE,company,425,0
426,SYK,company,426,0
427,SMCI,company,427,0
428,SYF,company,428,0
429,SNPS,company,429,0
430,SYY,company,430,0
431,TMUS,company,431,0
432,TROW,company,432,2
433,TTWO,company,433,2
434,TPR,company,434,0
435,TRGP,company,435,0
436,TGT,company,436,0
437,TEL,company,437,0
438,TDY,company,438,2
439,TER,company,439,2
440,TSLA,company,440,0
441,TXN,company,441,2
442,TPL,company,442,0
443,TXT,company,443,0
444,TMO,company,444,2
445,TJX,company,445,2
446,TKO,company,446,0
447,TSCO,company,447,2
448,TT,company,448,0
449,TDG,company,449,2
450,TRV,company,450,0
451,TRMB,company,451,0
452,TFC,company,452,2
453,TYL,company,453,2
454,TSN,company,454,0
455,USB,company,455,0
456,UBER,company,456,0
457,UDR,company,457,2
458,ULTA,company,458,2
459,UNP,company,459,0
460,UAL,company,460,0
461,UPS,company,461,2
462,URI,company,462,2
463,UNH,company,463,2
464,UHS,company,464,0
465,VLO,company,465,2
466,VTR,company,466,0
467,VLTO,company,467,2
468,VRSN,company,468,0
469,VRSK,company,469,0
470,VZ,company,470,0
471,VRTX,company,471,2
472,VTRS,company,472,0
473,VICI,company,473,2
474,V,company,474,0
475,VST,company,475,0
476,VMC,company,476,2
477,WRB,company,477,0
478,GWW,company,478,0
479,WAB,company,479,0
480,WBA,company,480,2
481,WMT,company,481,0
482,DIS,company,482,2
483,WBD,company,483,2
484,WM,company,484,2
485,WAT,company,485,2
486,WEC,company,486,2
487,WFC,company,487,0
488,WELL,company,488,2
489,WST,company,489,2
490,WDC,company,490,2
491,WY,company,491,0
492,WSM,company,492,0
493,WMB,company,493,2
494,WTW,company,494,0
495,WDAY,company,495,0
496,WYNN,company,496,2
497,XEL,company,497,2
498,XYL,company,498,0
499,YUM,company,499,2
500,ZBRA,company,500,2
501,ZBH,company,501,0
502,ZTS,company,502,0
503,0000093751,fund,503,1
504,0000315066,fund,504,1
505,0000886982,fund,505,3
506,0000914208,fund,506,2
507,0001029160,fund,507,3
508,0001037389,fund,508,0
509,0001061768,fund,509,3
510,0001067983,fund,510,0
511,0001079114,fund,511,3
512,0001103804,fund,512,3
513,0001166559,fund,513,2
514,0001350694,fund,514,0
515,0001423053,fund,515,1
516,Industrials,sector,516,1
517,Healthcare,sector,517,1
518,Technology,sector,518,1
519,Utilities,sector,519,2
520,Financial Services,sector,520,1
521,Basic Materials,sector,521,2
522,Consumer Cyclical,sector,522,1
523,Real Estate,sector,523,2
524,Communication Services,sector,524,0
525,Consumer Defensive,sector,525,0
526,Energy,sector,526,4
527,Conglomerates,industry,527,4
528,Specialty Industrial Machinery,industry,528,2
529,Medical Devices,industry,529,4
530,Drug Manufacturers - General,industry,530,4
531,Information Technology Services,industry,531,0
532,Software - Application,industry,532,2
533,Semiconductors,industry,533,2
534,Utilities - Diversified,industry,534,3
535,Insurance - Life,industry,535,4
536,Diagnostics & Research,industry,536,2
537,Specialty Chemicals,industry,537,2
538,Travel Services,industry,538,4
539,Software - Infrastructure,industry,539,0
540,REIT - Office,industry,540,3
541,Medical Instruments & Supplies,industry,541,4
542,Security & Protection Services,industry,542,4
543,Utilities - Regulated Electric,industry,543,1
544,Insurance - Property & Casualty,industry,544,4
545,Internet Content & Information,industry,545,3
546,Tobacco,industry,546,4
547,Internet Retail,industry,547,4
548,Packaging & Containers,industry,548,3
549,Credit Services,industry,549,4
550,Insurance - Diversified,industry,550,4
551,REIT - Specialty,industry,551,4
552,Utilities - Regulated Water,industry,552,3
553,Asset Management,industry,553,0
554,Electronic Components,industry,554,3
555,Insurance Brokers,industry,555,4
556,Oil & Gas E&P,industry,556,4
557,Consumer Electronics,industry,557,0
558,Semiconductor Equipment & Materials,industry,558,3
559,Auto Parts,industry,559,4
560,Farm Products,industry,560,4
561,Computer Hardware,industry,561,3
562,Telecom Services,industry,562,4
563,Utilities - Regulated Gas,industry,563,3
564,REIT - Residential,industry,564,2
565,Aerospace & Defense,industry,565,2
566,Oil & Gas Equipment & Services,industry,566,4
567,Banks - Diversified,industry,567,4
568,Specialty Retail,industry,568,3
569,Biotechnology,industry,569,4
570,Beverages - Wineries & Distilleries,industry,570,3
571,Building Products & Equipment,industry,571,4
572,Integrated Freight & Logistics,industry,572,4
573,Resorts & Casinos,industry,573,3
574,Packaged Foods,industry,574,4
575,Medical Distribution,industry,575,4
576,Auto & Truck Dealerships,industry,576,3
577,Farm & Heavy Construction Machinery,industry,577,3
578,Financial Data & Stock Exchanges,industry,578,2
579,Real Estate Services,industry,579,4
580,Healthcare Plans,industry,580,4
581,Agricultural Inputs,industry,581,3
582,Capital Markets,industry,582,2
583,Oil & Gas Integrated,industry,583,4
584,Restaurants,industry,584,4
585,Household & Personal Products,industry,585,0
586,Specialty Business Services,industry,586,4
587,Communication Equipment,industry,587,4
588,Banks - Regional,industry,588,4
589,Beverages - Non-Alcoholic,industry,589,4
590,Beverages - Brewers,industry,590,4
591,Utilities - Renewable,industry,591,3
592,Discount Stores,industry,592,4
593,Railroads,industry,593,4
594,Medical Care Facilities,industry,594,4
595,Footwear & Accessories,industry,595,3
596,Airlines,industry,596,4
597,Chemicals,industry,597,3
598,Residential Construction,industry,598,4
599,Electronic Gaming & Multimedia,industry,599,3
600,Solar,industry,600,3
601,Consulting Services,industry,601,4
602,Insurance - Reinsurance,industry,602,3
603,REIT - Industrial,industry,603,4
604,Industrial Distribution,industry,604,3
605,REIT - Retail,industry,605,2
606,Auto Manufacturers,industry,606,3
607,Scientific & Technical Instruments,industry,607,3
608,Entertainment,industry,608,2
609,Copper,industry,609,3
610,Health Information Services,industry,610,3
611,Leisure,industry,611,3
612,REIT - Healthcare Facilities,industry,612,3
613,Confectioners,industry,613,4
614,Lodging,industry,614,3
615,Home Improvement Retail,industry,615,3
616,REIT - Hotel & Motel,industry,616,4
617,Electrical Equipment & Parts,industry,617,3
618,Advertising Agencies,industry,618,4
619,Engineering & Construction,industry,619,3
620,Oil & Gas Midstream,industry,620,4
621,Grocery Stores,industry,621,4
622,Apparel Retail,industry,622,2
623,Oil & Gas Refining & Marketing,industry,623,3
624,Building Materials,industry,624,3
625,"Furnishings, Fixtures & Appliances",industry,625,4
626,Gold,industry,626,4
627,Utilities - Independent Power Producers,industry,627,4
628,Steel,industry,628,3
629,Trucking,industry,629,3
630,Apparel Manufacturing,industry,630,4
631,Waste Management,industry,631,3
632,Personal Services,industry,632,3
633,Tools & Accessories,industry,633,3
634,Food Distribution,industry,634,4
635,Luxury Goods,industry,635,4
636,Rental & Leasing Services,industry,636,3
637,Pollution & Treatment Controls,industry,637,3
638,Drug Manufacturers - Specialty & Generic,industry,638,4
639,REIT - Diversified,industry,639,3
640,Pharmaceutical Retailers,industry,640,3
641,United States,country,641,1
642,Ireland,country,642,4
643,Switzerland,country,643,3
644,Bermuda,country,644,3
645,United Kingdom,country,645,3
646,Canada,country,646,3
647,Netherlands,country,647,4
648,Singapore,country,648,3
649,LargeCap,marketcap_bucket,649,1
650,SmallCap,marketcap_bucket,650,1
651,MidCap,marketcap_bucket,651,1
652,LargeTeam,employee_bucket,652,1
653,SmallTeam,employee_bucket,653,1
654,MidTeam,employee_bucket,654,1
